"TCGA.QR.A6GU","TCGA.QR.A6GZ","TCGA.RW.A68A","TCGA.RW.A68B","TCGA.RW.A68F","TCGA.RW.A68G","TCGA.S7.A7WQ","TCGA.S7.A7WU","TCGA.S7.A7X1","TCGA.SP.A6QH","TCGA.SR.A6MX","TCGA.W2.A7HF","TCGA.WB.A814","TCGA.WB.A817","TCGA.P7.A5NX","TCGA.P8.A5KC","TCGA.P8.A5KD","TCGA.P8.A6RX","TCGA.P8.A6RY","TCGA.PR.A5PF","TCGA.PR.A5PG","TCGA.PR.A5PH","TCGA.QR.A6GO","TCGA.QR.A6GT","TCGA.QR.A6H2","TCGA.QR.A70W","TCGA.QT.A5XJ","TCGA.QT.A5XK","TCGA.QT.A5XL","TCGA.QT.A5XM","TCGA.QT.A5XN","TCGA.QT.A5XO","TCGA.QT.A5XP","TCGA.QT.A69Q","TCGA.QT.A7U0","TCGA.RM.A68T","TCGA.RM.A68W","TCGA.RT.A6Y9","TCGA.RT.A6YA","TCGA.RT.A6YC","TCGA.RW.A67V","TCGA.RW.A67X","TCGA.RW.A680","TCGA.RW.A681","TCGA.RW.A685","TCGA.RW.A686","TCGA.RW.A688","TCGA.RW.A689","TCGA.RW.A68C","TCGA.RW.A68D","TCGA.RW.A8AZ","TCGA.RX.A8JQ","TCGA.S7.A7WL","TCGA.S7.A7WM","TCGA.S7.A7WN","TCGA.S7.A7WP","TCGA.S7.A7WR","TCGA.S7.A7WV","TCGA.S7.A7WW","TCGA.S7.A7WX","TCGA.S7.A7X0","TCGA.S7.A7X2","TCGA.SA.A6C2","TCGA.SP.A6QJ","TCGA.SR.A6MQ","TCGA.SR.A6MY","TCGA.SR.A6MZ","TCGA.TT.A6YN","TCGA.W2.A7HC","TCGA.WB.A80Q","TCGA.WB.A815","TCGA.WB.A818","TCGA.WB.A819","TCGA.WB.A81G","TCGA.WB.A81M","TCGA.WB.A81P","TCGA.WB.A81S","TCGA.WB.A81T","TCGA.WB.A81V","TCGA.WB.A81W"
4.34376205638089,7.23667202567924,2.69873566615168,2.72255214642264,3.11872400863448,2.86921878939768,7.46633646373099,4.37877759563332,5.87853270774585,8.16684426059643,4.13763958970646,1.83812805643847,6.78221183228679,3.21075494706265,4.23920829727658,5.52759635774725,3.6968789733285,6.35742171633543,2.66503387193129,3.31043304928561,3.102753859989,3.9026983866756,3.07336713534453,5.03925979808025,2.59373286190472,2.70654182441244,5.97892544325397,2.13183342468595,5.37511420620508,4.43299193433928,2.54031200970993,2.29226228550404,2.40439798149209,2.60421795857443,3.00746786512989,3.49764621331212,4.24118502687798,2.96744217708509,2.39219430754895,2.61872072654768,2.88281225045097,5.26895925133911,3.17994252035407,1.58786612639241,3.25952966311504,3.69500908265252,1.36077778049202,3.16826414501093,6.59369012653612,1.87211600047069,4.58410991663887,2.7951025816942,2.21574133461907,4.18814103883865,3.02415937084024,5.67042075374566,2.80963175824792,6.1831300445547,5.56708485798624,3.3313455009631,5.54489471822643,4.4537663255412,3.13008608599005,2.74609430306574,3.08953323474915,3.19765689616413,3.81963630489689,2.39199972009187,2.83250463656952,4.88500542234067,3.7685297890203,3.64093680109918,3.68201644893572,4.83534132195884,3.32815027430686,2.79554317141924,5.20400142642862,5.0172591847489,5.29620596005721,4.59197849146288
1.26710247504955,1.29537509034165,1.22993486609628,1,1.38285314509576,1.25598104797266,1.40164302594943,1.26181060174841,1.34264121356672,1,1.10733434898269,1,1.34758912624347,1.11189733734571,2.60226421341393,1,1,1.25151732838837,1.34641969563707,2.95892914157669,1,2.08197867616123,1,2.73887136131416,1.3020323846313,1.23160013964528,5.76388470191695,1,1.32751779443537,1.17075062791339,1.5351332622156,1,4.18245394714956,1.18398886915728,1.57261710667092,1,5.10233323647333,7.01577528251203,1.30113223325352,1.47972827757704,1,1,6.70067451152414,1.64699162290718,1.22449907215499,5.04030497816439,1.77424561139982,1.78917668621145,1.25997565773042,3.69297190010515,8.25335435584818,1.43607066834357,1,1.22752976899069,1,1.2964374371032,1.08170502755535,1.22434039273831,1.96318925606226,1.33045456814241,1.18913379716138,1.11057037784749,1.15638302452114,1.24897134321697,4.20727239059895,1.28382045423173,1.13051578825899,1,1.46413342982484,1,1.77318658569564,1.44051959035251,3.12685692074808,1.95588448548937,1,2.55296106483444,1,1.14007643875383,1,1.80365440770491
1.18344522595326,1.07970373685101,1.42821047642865,1.19378751046944,1.20408936994924,1.33212128545953,1,1.26181060174841,1.53285902153401,1.06558609743355,1,1,1.24076859224736,1.21573636537115,2.86082537287283,1.20837117251343,1.23499480585393,1.13123321121405,1.26729727674233,2.89635691589279,1,2.29397015810682,1.0952756519561,2.76522028944068,1.3020323846313,1,5.84811619947835,1,1.39896923914185,1,1.29223754447022,1,4.30200020424383,1,1.25687479324169,1,4.93903235570747,7.10911362511204,1.10751446770345,1.83912314612036,1,1.23256129949123,6.72941113141566,1.52621307395868,1.41872158229616,5.07196319649427,1.71304953626344,2.11432770847752,1.25997565773042,3.82562283181568,8.29434508510192,1,1,1.42401588789569,1,1.22784086598162,1.15902976811889,1.11652645191749,2.14313280877261,1.59914494562153,1.09766405401174,1.11057037784749,1.08030905519446,1.12984943147342,3.98099015696358,1,1.13051578825899,1,1.25065178516362,1.33329777866001,1.51139162653634,1.44051959035251,2.80286817825544,2.2332239118411,1.09513181682723,2.86101998821413,1.31941330669039,1.38503393078177,1,1.45707784435075
1.91176903478279,2.63303078075914,1.96369605998654,4.20076359090234,2.14774400031681,1.97873489177643,2.04965794867946,2.31751709909159,1.8513820630617,1.98310196092849,2.97635117020714,1.74432990254668,2.70941107587819,2.03451718455927,1.67442404135317,2.3526633401801,3.12470761976985,3.80724042935818,1.56066849405558,1.8012083319687,2.51970719867397,2.74225159910808,2.36188287230171,3.82587230865302,1.89055836832427,2.66753203083187,1.87452511962761,1.76621859144248,3.48216329198173,2.46415486895143,1.92459590498047,2.02508834431086,2.77879436829765,2.31974884589937,5.3973532472606,2.19402273473239,2.40837329060409,2.36743620912825,2.43410589416543,2.05992490507917,1.32197426039003,3.19718444716376,3.3375738083831,1.52621307395868,1.66839102301824,3.55266737626856,1.58227321670705,2.01387169483361,2.91242606695442,1.56984880486882,3.3613493837335,1.86668409089029,2.44866576740044,2.34338365873024,1.76651374945491,3.06815950047868,2.51832312528508,4.55674201659983,1.427943477281,2.65309533861753,1.98590403700125,3.19675810372962,1.89427064781256,1.64623455965567,3.35558395283992,2.66636735251417,3.58935806147562,2.22512651840502,3.04641475005039,3.60118684851326,2.0938741681607,2.13113540181611,2.06911541549599,1.76962492380895,1.69016317674137,1.93611286734829,1.49880077423688,1.86053220878304,1.56576239396738,2.08289023646714
2.46608021474432,2.49448396717662,3.74454863322792,4.17802770383553,3.06734202531914,4.76760999137398,2.87778252502399,4.41959160959366,3.40305457499264,2.49256695755296,4.91973836576371,3.54569808550521,3.15406953580942,3.97363101946036,3.63567186629691,2.262101462015,1.4370199502919,3.11537456046669,4.33513255823759,2.36043535596974,4.50146806246503,1.64012945814514,4.11206804383724,2.62838237003743,5.32884784292491,4.60225981812587,3.72257094393159,2.95356510959307,3.28880208212918,5.32897357691801,3.74968914795309,4.74642134072963,3.99647037030533,5.83512420751672,2.9720731729612,1.74152911533203,2.7611388685604,3.80484058807005,3.93618468491083,3.51948491523751,4.77500222250922,2.89190168958718,4.32546909667801,6.16326793897216,4.73238882207661,5.17273811720279,5.20180901253276,5.21876017029743,3.09019678706223,3.59723759971492,1.60151919907713,2.404322494911,4.79916949174793,4.96401452474917,4.94238819948362,2.73903063191557,4.30111203485933,2.85110576830854,4.37987335616325,4.13882773613219,1.98590403700125,4.42195351873959,3.82128887431869,4.8453409062037,3.96338358277198,4.10592995769987,4.08408468013989,4.26301667259826,4.46681620444906,5.04119548748071,4.21657483899063,4.86488327467097,4.29059721021499,3.28585966562031,5.40900936922301,4.19638184146173,3.86357842534868,4.58641132083431,4.89189376905813,4.03679562350715
4.40043819437695,6.05091063525646,3.15563153944671,2.84306790414704,2.49748846351273,1.25598104797266,5.40760676412187,3.04752879170347,4.95197116954489,2.81210489613312,4.29350254862093,3.93346490419658,5.07826060319248,1.31260128468222,2.80039840184125,3.14353366482327,2.79769140392077,5.64372798619722,2.01275101005225,2.53488483949358,3.72289986069765,1,3.78056155126446,3.42435282331728,3.43954854098178,2.98561773558702,1.64774276405936,3.21542761727711,4.64020056272405,1.32341445899499,3.45700637825336,3.24071212245286,1,1.18398886915728,4.53870924072934,4.18004646784034,3.82090385581707,3.7523886219163,3.43565699433112,3.30591552539317,1.08747641949271,5.33296612788825,3.85051331557056,3.09411527708953,2.74725741159289,3.09941202928768,3.89988848605353,3.80122520067888,4.50672373140269,4.44558767042172,3.68522052713835,3.25230105154383,3.92846593097053,2.60878228058183,3.45150285297753,4.84240802491731,1.15902976811889,2.33009167149489,2.94442557236101,2.5299048827075,4.06249382465018,3.03792668830445,3.48015497661563,3.36286427902415,3.43437909522395,4.10592995769987,3.04425666331928,2.33849173422716,2.87043199446049,3.04218221580474,1.09882915708955,3.19248804105764,2.83282602795522,3.32020073231417,1.09513181682723,2.41443324420573,2.16292862630087,3.3151534758727,3.53647408083235,4.34974847795613
3.01821789728112,4.37464633900032,2.80955294454373,2.10440275386423,1.87638846117646,1.25598104797266,3.37104358211282,2.71734082893402,3.56431219089269,2.44406908841088,2.91857476481254,2.97300505095225,3.23977913524864,1.21573636537115,1.84367236511821,1.55203221937342,1.9141913644521,3.66285251608895,1.85933669028801,2.72691250254468,2.98759609788266,1,2.50755770168063,1.94320270610023,2.113967146433,2.62743828041605,1.26305484386877,2.46048859566144,2.87811792826621,1,2.2309582934037,2.40932820299885,1,1.18398886915728,3.23354007230694,2.67076217267924,2.87396493906598,1.80609840595196,1.94743687816067,2.25137613724497,1,3.02186291459692,2.65903424134288,2.32715013327867,1.88116066468498,2.22556769690989,2.67893523498111,2.29641394231629,2.91242606695442,3.06453489392521,2.73461663451794,2.6938216796724,3.25227198188253,1.89075251550338,2.55000079230672,3.21714678926157,1,1.11652645191749,2.4470885174597,1.95890502058855,2.78717541454718,1.90781823876075,2.17592885035251,2.27064554928806,2.59030164126274,2.6160925197718,2.02965465462094,1.96756889064665,2.58126229631135,2.56031167707785,1,2.53828809137142,1.90959417198433,2.12082369219385,1,2.38505713054642,1.65832940753863,2.4506857762749,2.08433304377854,2.63797997204024
4.57473065726162,4.67971862413326,1.60250011382385,3.00683962862703,3.55156178940129,1.33212128545953,6.19504430123589,3.16420428878547,6.50781496461644,2.95740315893715,4.18741526334416,1.83812805643847,5.53343025408088,1.4887633203403,2.60226421341393,1.95031835113081,1.77197851634434,5.01269876941112,1.91230840582484,3.21110348857674,3.02701228807083,1,2.36188287230171,3.21090250710118,3.75368432726003,2.03197349942726,2.00006167389473,2.22127792124409,6.06855978851664,1,1.41879119299921,3.03747095995552,1,1.74854968123866,5.79686011152748,3.24844481668894,3.92931920474452,4.04181621343031,2.51444397370387,1.5783122422101,1.08747641949271,5.92119332210565,3.46265100464191,3.86547822064727,1.58987276340091,3.25461369402623,2.67893523498111,1.9058942149621,3.90998867639581,4.91799239746531,3.94954893969699,2.88973752572953,2.82515998483603,2.07750689910052,2.67405653188091,6.29936142138392,1,1.41844472509587,3.28829609820046,1.75396773139265,4.08648376781669,2.0253949160845,2.44219509026557,2.27064554928806,3.12163595800146,3.38945117126616,1.46335042198875,1.89529331359334,2.15920160943276,2.62251832771099,1,2.53828809137142,1.5253257325752,2.88824059213264,1.09513181682723,3.09672502011733,1.11451028778493,1.68865573165882,3.04302964660402,2.99351767637984
1,6.52669592521573,1,1,1.10565059134242,1.25598104797266,7.04566945531772,1,3.80468016066668,1.12831979957966,5.09948979511914,1.15384748161069,1.24076859224736,1.40336971645511,1,1,1,2.16219746586039,1,1,1,1,1.91648161265049,1.08613087364075,1.6968961058474,1.23160013964528,1,1.09771933175007,2.14440536669923,1,1,1,1.10893521093913,1,2.05094183948078,1.15314511152553,1.54552264583186,1.22197356677932,1,1.13569311757018,1,3.02186291459692,1.17733230587366,1.17089352613931,1.5068334534726,1,1,1.19612543592219,3.30718528670624,1,1,1,1,1.67617712414928,1.60962779897792,1.08001222844113,1,1,1.11946043247694,1,1,1.21326639521571,1,1,2.22696993346979,2.45381517433384,1.25019759155732,4.47621965072303,1,1,1.1913200756257,1,1,1,1,1,1.11451028778493,1.14007643875383,1.11106871510866,1
8.09301805488195,4.02802671358705,9.00257830702216,8.96493319561344,7.05350941322037,9.64235675546392,2.43939042604102,9.30690724150444,5.8385405503473,5.1902377824175,8.50382888569059,9.89890641600715,7.65276719082476,9.55309725698279,7.13504802374734,7.55573197239275,6.45901522627412,3.99127013193805,9.29646087644294,8.54475187164959,10.5011298680993,7.42249474298511,9.15067585007425,6.24924481377807,7.23733365191012,10.2752403208483,6.74338491336599,10.2421866863826,7.53125789814278,8.7522147162089,8.66513711361465,9.31403166569332,9.1412678363025,9.09871298751645,8.66118240535912,3.83986155746391,3.94662195220174,8.26387174776112,8.2117487380703,8.32792298183174,9.62708128875055,5.93363278077318,9.07771159572503,6.90033085890815,9.23621847071083,7.75917361432105,10.2908113290873,8.96917672887624,7.00198053098314,9.8771748741903,7.97055326095432,9.4425909625832,9.69935118780147,9.50241068445687,9.03730356134862,5.22329723546135,7.64381991996548,6.06120464324591,4.18822548310549,9.17255828539879,9.14383835775646,9.68796578511391,9.80835249697192,8.93286602088906,10.5256597141693,7.93191706831623,8.50283215007489,9.30135449982416,8.18853729841764,7.0830376594233,8.30425964800244,9.27891278628778,8.95850541745748,8.09526874119181,9.49054270662574,8.76679499255556,8.25814896054664,8.72210225825375,9.81877032268161,9.78943654588136
